,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
8,9/29/2018,9/28/2018,"{dr}I first saw UFO's about 7:39PM when my day daughter saw them, multiple in the sky, changing direction, military on them from Yakima training facility","Ellensburg, WA, US",,
,,7:39PM,,,,
9,9/28/2018,9/28/2018,{dr}Triangle shimmering and flying around Lummi islands,"Ferndale, WA, US",,
,,10:15AM,,,,
10,9/27/2018,8/16/2018,{dr}3 red lights configured in a triangle hovering above neighborhood - washington,"gig harbor , WA, US",,
,,12:00AM,,,,
11,9/27/2018,9/26/2018,{dr}very bright neon or halogen-like blue and yellow lights in a,"Ocean Shores, WA, WA, US",,UFO20180926.jpg
,,8:40PM,,,,
12,9/26/2018,9/25/2018,{dr}Large flying object with 2 large red tail lights pulsating rhythmically and a periodic small white flash on right side of object,"Bellevue, WA, US",,
,,9:46PM,,,,
13,9/23/2018,9/22/2018,{dr}I pulled over to take some pictures of a beautifull rainbow i took a few pictures of this rain bow and i was looking up and i saw this little white thing below the clouds first was trying to figure out what this thing was ! it was moving along..,"entiat, WA, US",,
,,6:28PM,,,,
14,9/23/2018,9/10/2018,{dr}First it was just violet purple orb looked to be coming out of sun then I noticed T H E UFO,"Yakima, WA, US",,IMG20180819071132.jpg
,,6:00AM,,,,IMG20180819071144.jpg
,,,,,,IMG20180819071145.jpg
,,,,,,IMG20180819071146.jpg
,,,,,,196912311600001606799260.jpg
15,9/20/2018,9/9/2018,{rjl} 2 lights over Srewart Mountian,"Van Zandt, WA, US",,
,,12:00AM,,,,
16,9/18/2018,9/18/2018,"{rjl} Pulsating/flashing spherical object, maybe 3500', heading SE","Vancouver, WA, US",,
,,12:25PM,,,,
17,9/16/2018,9/14/2018,There is a boomarang shaped craft at 0:06 sec at the lower than the middle left of screen and a star like light through the entire video moving as ll around,"Vancouver , WA, US",,20180914235043.mp4
,,11:50PM,,,,
18,9/16/2018,9/15/2018,"Got brighter like getting closer, then zoomed out and disappeared twice","Spokane, WA, US",,
,,10:06PM,,,,
19,9/9/2018,9/6/2018,{cak} 3 orange lights circling around Portage island,"Bellingham, WA, US",,
,,12:00AM,,,,
20,9/9/2018,9/6/2018,{cak} Was a with a girlfriend.we saw it and it went down behind the trees.i knew what it was.it was glowing.and there were about 30 more that were all over the sky after that.,"Sequim, WA, US",,
,,12:00AM,,,,
21,9/9/2018,9/8/2018,{cak} 3 separate ufos caught on camera within an hour of each other- I have videos,"Seattle, WA, US",,UFO1.mov
,,6:33PM,,,,UFO2.mov
,,,,,,UFO3.mov
,,,,,,UFO5.mov
,,,,,,UFO6.mov
22,9/8/2018,9/8/2018,{jpg} 3 fast star like lights and one blk on top white on btm,"Vancouver, WA, US",,20180908113231.mp4
,,11:32AM,,,,
23,9/3/2018,9/2/2018,{jpg} A line of light that was red at the front and green at the back,"Lacey, WA, US",,
,,8:45PM,,,,
24,9/2/2018,9/1/2018,{jpg} A reddish -orange ball moving slowly to the east then gaining speed and ascending rapidly,"Kelso, WA, US",,
,,10:12PM,,,,
25,9/1/2018,9/1/2018,"{td} 3 orange lights in a row , moving away them toward each other, up and down also","Bellingham, WA, US",,
,,11:35AM,,,,
26,9/1/2018,7/21/2018,"{td} On July 21st at approximately 22:00, hours after witnessing previous spherical object passing my house, a second one passes directly overhead while at Kinnear Park in Queen Anne moving in straight line directly from the west.","Seattle, WA, US",,AerialProbe2.MP4
,,12:00AM,,,,
27,8/30/2018,7/21/2018,"{td} Relatively small, spherical object emitting a yellow-orange glow moved relatively slowly past my yard, floating W to E at irregular speed.","Seattle, WA, US",,AerialProbe.MP4
,,8:00PM,,,,
28,8/29/2018,8/27/2018,{td} Observe 2 Chinook helicopter escorting 3 Orange orbs in tight formation heading west,"Eatonville , WA, US",,
,,11:05PM,,,,
29,8/27/2018,8/26/2018,"{td} Saw an object hovering, flying, and changing shape in the sky over Everett in Washington state.","Everett, WA, US",,
,,6:00PM,,,,
30,8/24/2018,8/23/2018,{rjl} Bright Light that got bigger as it got closer.,"Bellingham, WA, US",,
,,12:00AM,,,,
31,8/21/2018,8/19/2018,{rjl} 3 bright lights inline then turning into a triangle. going from north then turning south,"Ferndale, WA, US",,
,,9:45PM,,,,
32,8/14/2018,8/12/2018,{cak} The sphere had a dark line that splite it in half,"Shelton, WA, US",,20180812231308.mp4
,,10:30PM,,,,20180812231603.mp4
,,,,,,UFO.pdf
,,,,,,UnidentiedFlyingObjectAircraft.docx
33,8/9/2018,8/8/2018,{jpg} We were sitting on the roof star gazing and my friend thought she saw a shooting star but we realized it was a ufo because we actually looked at it.,"Woodland, WA, US",,
,,10:30PM,,,,
34,8/5/2018,8/3/2018,{jpg} Observed a white orb moving west to east above home for 2-3 minutes; rapidly took off until it disappeared after passing over home.,"Gig Harbor, WA, US",,
,,10:00PM,,,,
35,8/3/2018,8/2/2018,{rjl} I saw strange lights behaving in strange ways,"Spokane, WA, US",,B1A2592C19FF42F9B6FC56B8F813F7C1.MOV
,,4:12AM,,,,
36,8/2/2018,8/1/2018,{rjl} Second sighting in less than a month near my home.,"West Richland, WA, US",,
,,10:30PM,,,,
37,7/29/2018,7/22/2018,{rjl} strange object found in photo over white horse mountain,"Darrington, WA, US",,QWWB1363.JPG
,,1:42PM,,,,QWWB1363crop.jpg
,,,,,,QWWB1363detail.jpg
,,,,,,QWWB1363.kmz
38,7/29/2018,7/28/2018,"{rjl} Three UFO sightings tonight. One off of Cassiopeia, and two off of Cygnus.","Vancouver , WA, US",,
,,11:45PM,,,,
39,7/29/2018,7/28/2018,{rjl} Bright white light faded and dimmed. The light went from white to reddish orange before it faded out completely.,"Vancouver , WA, US",,
,,11:45PM,,,,
40,7/29/2018,7/28/2018,{rjl} I was lying on my back in my backyard. It flew directly over my backyard without making a sound. It was disk like but not flat. It had a convex surface and was a dark metallic color.,"Seattle, WA, US",,
,,4:10PM,,,,
41,7/28/2018,7/24/2018,{cak} I was awake lying in bed. Looking out my bedroom window I saw this craft moving N to S across the sky.,"Winlock, WA, US",,ufo086.jpg
,,2:30AM,,,,
42,7/28/2018,7/26/2018,{cak} Was as bright as Venus looked like Venus moved 1/4 speed of satellite watch15 seconds disappeared did not dim.,"Arlington, WA, US",,
,,12:00AM,,,,
43,7/25/2018,7/24/2018,{cak} Bright neon purple light in western sky over Wiser lake.,"Lynden, WA, US",,
,,10:30PM,,,,
44,7/25/2018,7/21/2018,{cak} noticed in the west after seing Venis just north it was moving slow and brighter than venis when ask anther pilot to come with his field glasses,"Elma Airport, WA, US",,
,,9:45PM,,,,
45,7/23/2018,7/23/2018,"{cak} Blue object rose up, split into two pieces, merged again and flew towards the south.","Seattle , WA, US",,
,,6:30PM,,,,
46,7/23/2018,7/22/2018,"{cak} Saw something very unusual, no way to identify","Sunnyside, WA, US",,UnknownObjects.jpg
,,12:00AM,,,,
47,7/22/2018,7/21/2018,{cak} UFO to SE of Vancouver Descends/crash/lands as small plane-sized Golden extinguishing firework.,"Vancouver, WA, US",,
,,11:52AM,,,,
48,7/21/2018,7/20/2018,{td} Announced (In my head) I was going outside to see if,"Vancouver, WA, US",,
,,10:30AM,,,,
49,7/20/2018,7/18/2018,{td} I took a photo of a star and noticed when i looked at it the alien was standing about 10 feet away from me in the pic.,"Mount vernon, WA, US",,20180716014326.jpg
,,11:00PM,,,,
50,7/19/2018,7/18/2018,{td} 2 white glowing orbs one larger than the other trailing . Entering JBLM from the south over I-5. Zero running lights. Not traveling more than 70mph.,"Dupont , WA, US",,
,,10:51PM,,,,
1,1/12/2019,12/20/2018,{cak} at frist it looked like a star when we got near the beach we seen two orbs and then there was three and one fadit out of sight and one was pusleing,"oak harbor , WA, US",,1220181711.jpg
,,6:30PM,,,,1220181711a.jpg
,,,,,,1220181707.mp4
,,,,,,1220181711.mp4
2,1/11/2019,12/20/2018,{cak} Large yellow-white glowing sheres that were stationair. appeared and disappeared in sequence,"Oak Harbor, WA, US",,Blackoutsighting001.bmp
,,6:30PM,,,,001.bmp
3,1/10/2019,11/12/2018,{cak} a windy day so I filmed to show my husband what he was missing at home since he was huntting in Montana. Wind was blowing from East when from the North a green glowwing ball blew in landed out of sight of camera then bounced back in from the South,"Mossyrock, WA, US",,IMG0188.TRIM.MOV
,,9:14AM,,,,IMG0183.PNG
,,,,,,IMG0184.PNG
,,,,,,IMG0185.jpg
,,,,,,IMG0264.jpg
4,12/27/2018,12/27/2018,{tjd} Noticed strange blinking light in sky that changed into an aura like falling object then back into a bright light,"Ocean Shores, WA, US",,201812270611521.mp4
,,6:00AM,,,,
5,12/20/2018,11/15/2018,{rjl} Pulled up to stop light & saw people pointing@ sky. Took out cellphone camera & took pic,"Everett, WA, US",,20180514144610.jpg
,,12:00AM,,,,
6,12/20/2018,12/20/2018,"{rjl} Got out of my vehicle, bright red light cought my eye. Watched it arch up and dissapeared into nothingness.","Bothell, WA, US",,
,,5:50PM,,,,
7,12/18/2018,12/18/2018,"{rjl} A dont blink or you'll miss it, very fast traveling square object","Vancouver , WA, US",,VideoCapture20181218135244.jpg
,,2:00PM,,,,20181218133445.mp4
8,12/17/2018,12/14/2018,{rjl} Black disk shaped object traveling stopping then going while wobbling,"Clarkston, WA, US",,20181207122420.mp4
,,1:07PM,,,,
9,12/8/2018,12/3/2018,{jpg} Assisting in moving concret blocks from side of runway when Mich Black saw the orb moving from the south,"Elma Wash, WA, US",,
,,9:30PM,,,,
10,12/8/2018,12/6/2018,{jpg} Saw bright green-white object falling at a 45 degree angle.,"Martha Lake, WA, US",,
,,6:50PM,,,,
11,12/6/2018,12/5/2018,{jpg} This is not the moon or sun. Wife took photos out of our front window at about 5:30 am-6:00 am Not there today.,"Port Orchard, WA, US",,SAM2032.JPG
,,5:30AM,,,,SAM2033.JPG
,,,,,,SAM2034.JPG
,,,,,,SAM2035.JPG
,,,,,,SAM2036.JPG
12,12/5/2018,12/4/2018,{jpg} silver curved teardrop flying VERY fast vertically but doing a bumble bee type ascent.,"Olympia, WA, US",,
,,2:00PM,,,,
13,12/5/2018,12/4/2018,{jpg} Object appeared suddenly in the east had a discernable form then seemed to roll inwards into itself moved upwards and disappeared moments later shooting start shot over roof from north,"Ferndale Bellingham, WA, US",,
,,9:58PM,,,,
14,12/4/2018,12/3/2018,{jpg} Two bright lights close to each other. Third light appeared. Then all three flipped together,"Port Orchard, WA, US",,
,,8:50PM,,,,
15,12/3/2018,12/2/2018,{jpg} I saw an anomaly on my security camera tonight. Have uploaded to YouTube due to file size [link removed/CMS/jpg],"Vancouver, WA, US",,p1.png
,,6:35PM,,,,p2.png
,,,,,,p3.png
,,,,,,p5.png
,,,,,,p6.png
16,12/2/2018,12/1/2018,"{tjd} A star like object dancing in the sky. Red light minimal, spinning in circles, quick sharp movements","Ferndale, WA, US",,201812012153211543735239628.jpg
,,9:25PM,,,,20181201214253.mp4
17,11/27/2018,11/25/2018,{tjd} Small high speed white and blue lights like stars edancing all over behind our 2 fir trees and beyond them.,"Oak Harbor, WA, US",,
,,7:00PM,,,,
18,11/24/2018,11/23/2018,"{rjl} The entirety of Liberty Lake (body of water, not the town named","Liberty Lake, WA, US",,
,,11:11PM,,,,
19,11/22/2018,11/22/2018,{rjl} A strange stationary and bright light observed on the early morning sky for about 15 minutes.,"Bellevue, WA, US",,
,,7:30AM,,,,
20,11/19/2018,11/17/2018,{rjl} Fast moving triangle of diffused large difussed lights moving in a northbound direction at a fast rate of speed,"Tacoma, WA, US",,
,,8:00PM,,,,
21,11/17/2018,11/16/2018,{cak} areo shaped burning on fire posible mile long upper atmospher slowly to ocean,"graylan, WA, US",,
,,5:10PM,,,,
22,11/16/2018,11/10/2018,{cak} Bright red/orange light in the sky that moved oddly,"vancouver, WA, US",,
,,12:00AM,,,,
23,11/9/2018,11/8/2018,{dr}Black triangle silent large craft,"Grandview, WA, US",,
,,8:25PM,,,,
24,11/8/2018,11/7/2018,{jpg} Driving home from work when green light shot out in front of my car and hovered for maybe a couple seconds and then vanished i then felt like a body body does after passing out and my whole body felt like jelly and I spaced for a second and forgot I,"Lacey, WA, US",,
,,6:02PM,,,,
25,11/7/2018,11/1/2018,{jpg} Water in bay began swirling then something moved in the water,"Lummi reservation, WA, US",,
,,4:00PM,,,,
26,11/2/2018,10/3/2018,{tjd} These images were taken 0n October 3 2018 at 10:30 am No one has been able to explain what the dark spot may be or the small blue spot it did not move I watched for just a few minutes trying to figure out what it may be.,"Kennewick, WA, US",,IMG0928.JPG
,,10:30AM,,,,IMG0927.JPG
,,,,,,IMG0929.JPG
,,,,,,IMG0927.JPG
,,,,,,IMG0930.JPG
27,11/2/2018,11/1/2018,{tjd} BF and I saw 5 very bright round lights in a horseshoe formation hovering. They def were not airplanes or street lights. We lost sight of them due to trees for 2 minutes then they had disappeared. They were so big we couldn't see how they did so.,"BURIEN, WA, US",,IMG8740.jpg
,,8:30PM,,,,
28,11/1/2018,10/30/2018,{tjd} Doing yard work.I heard jets looked up .Did not know what they were.saw two jets following 8 shining small objects lined up in a straight line..lost site on horizon .day time.,"Okanogan, WA, US",,
,,12:00AM,,,,
29,10/25/2018,10/24/2018,{cak} I looked up and saw a low flying object in shape of crescent it was traveling at a high rate of speed and made a humming noise,"Oso, WA, US",,20181024170126.mp4
,,5:01PM,,,,
30,10/19/2018,10/11/2018,"{rjl} Flashing/strobing/glowing light, moved erratically for a minute, strobed and moved.","Spokane, WA, US",,20181011190707.mp4
,,7:06PM,,,,
31,10/16/2018,10/16/2018,{rjl} Object of 3 red lights with 4th pulsating light appears in sky,"Ilwaco, WA, US",,
,,3:29AM,,,,
32,10/15/2018,10/10/2018,{rjl} Triangle with 3 red lights on sides,"Bellingham, WA, US",,
,,4:30AM,,,,
33,10/13/2018,10/12/2018,{tjd} Orb projecting light,"Maple valley, WA, US",,
,,10:30PM,,,,
34,10/11/2018,10/4/2018,{tjd} While driving north on Division my daughter and I observed what looked like a 747 hovering in the air to our left. After observing it for about 5 minutes it turned west and flew off.,"Spokane, WA, US",,
,,1:46PM,,,,
35,10/6/2018,10/5/2018,{jpg} Large globe moved west less than a 100ft above ground. Colors changed slowly,"Montlake terrace, WA, US",,IMG0924.jpg
,,12:00AM,,,,IMG0915.jpg
36,10/5/2018,10/4/2018,"{jpg} Slient low flying wedge shaped over the Pine Lake section of Sammamish, WA","Sammamish, WA, US",,UFO.png
,,8:00PM,,,,UFO2.png
37,10/5/2018,10/4/2018,"{jpg} large bright object aprox five times the brightness if near by stars, traveled slowly from west to east. slight fluttering path. changed from white to red then faded into darkness.","Seattle, WA, US",,
,,7:55PM,,,,
38,10/3/2018,10/2/2018,{jpg} Bright object no lights but glowed,"Vancouver, WA, US",,
,,8:40PM,,,,
1,1/18/2019,3/18/2018,{rjl} Future event will occur on tis date range,"NV, US",,
,,12:00AM,,,,
2,1/11/2019,2/23/2018,{cak} Object observed on-and-off approx 30sec. I stopped and made vid for another minute.,"Overton, NV, US",,
,,4:13PM,,,,
3,12/29/2018,2/2/2018,{tjd} It looked like a full moon pulling our crescent moon,"Reno, NV, US",,moonrisefromLakeTahoeNevadalookingsouthwest.jpg
,,1:30AM,,,,sierranevadanight.jpg
,,,,,,5JUNE20180150am.webm
4,9/4/2018,5/8/2018,"IN THE MORNING WE WERE ON OUR WAY FROM THE HOTEL TO PAESTUM, TOOK PICTURES FROM THE BACK OF THE BUS","NV, US",,PCOOK1.jpg
,,12:00AM,,,,PCOOK2.jpg
5,8/31/2018,6/12/2018,"{td} Walking home, had a feeling, looked up and there it was.","Henderson, NV, US",,VideoCapture20180819165137.jpg
,,10:36AM,,,,VideoCapture20180831112013.jpg
6,8/2/2018,5/20/2018,"{rjl} It was mid morning on a partly cloudy day in Lake Tahoe, when I happened to look up and noticed a very large Grey disc like object at cloud height, hovering above us with absolutely no sound. I called out and my wife also observed and took pictures.","Stateline , NV, US",,71D683DA78E9481F89A0CCDC151AF4B1.MOV
,,12:00AM,,,,018257B14EF14F88BDBC48370441EBDD.jpeg
,,,,,,0434E983F1DA4F5599E220E3571F59A0.jpeg
,,,,,,86F12FFF4CBB46A289BB336601ADCD0E.jpeg
,,,,,,720EABD4C72C41A0A81A03729691E3A2.jpeg
7,8/2/2018,5/20/2018,"The disc shaped object was right above us at cloud level. It was very large and covered the sun, with the sunlight coming from its center as if thru a frosted glass. The object was so large that I could barely get it all on my iPhone and my Nikon D90 SLR","Stateline , NV, US",,414C0BC8B7DE4A9ABE013EDF65C5A68E.jpeg
,,12:00AM,,,,52F226CDC0EB474EA69DF0F67E43D05C.jpeg
,,,,,,41471ACB8FFE47C69B81D33C28B42A5B.jpeg
,,,,,,4E055BE3548342738E8B243354FB1384.MOV
,,,,,,AE786B13379541A0AEC1525591DA9E71.jpeg
,,,,,,CDFF658992624588B4521AB9F07249D9.jpeg
,,,,,,49B9C58CB0D44A758768F4BBE170E10B.jpeg
,,,,,,9A05717C733E40AFAECE08CA3F61707C.jpeg
8,7/5/2018,5/29/2018,{dr}I was using my telescope to see the moon and many abjects appear on my ideo after reviewing them i saw the craft.,"Las Vegas, NV, US",,20180530112510.mp4
,,11:02PM,,,,20180530120948.mp4
,,,,,,20180531125303.mp4
,,,,,,20180531133214.mp4
,,,,,,20180531123948.mp4
9,7/1/2018,6/30/2018,{dr}i have video from my cell phone. (10 min) using 8x zoom. but viewing from my telescope showed me a crazy landscape of light,"las vegas, NV, US",,
,,9:15PM,,,,
10,6/28/2018,6/27/2018,"{td} Flew by to the south, heading west to east. Was dark out, Andy I noticed what could of been windows with a amber lights glowing. With white flashing lights.","Mesquite, NV, US",,43C71066F1944AB384F8B303D8BF62DF.jpeg
,,12:00AM,,,,
11,6/13/2018,6/13/2018,{cak} Very high up. One circular object and one illuminated object moving back and forth.,"Las Vegas, NV, US",,
,,4:15AM,,,,
12,6/12/2018,6/11/2018,{cak} 5 types of crafts over 50 total objects with first sighted following me for 3 hours.,"North Las Vegas, NV, US",,C2557E25932A47A2A8CC8171A3544AA5.jpeg
,,12:00AM,,,,D33A7361CF054EBCB1B82C03101BDA47.jpeg
13,6/11/2018,6/8/2018,{cak} I saw a glowing object hovering.It split into two and both drifted slowly west.,"Las Vegas, NV, US",,
